# Renewables.ninja Solar photovoltaic power (PV) (Point API) - -31.367, 144.848 - Version: 1.4 (gsee f9b6961) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060,,,,,,,,,,,,,,,,,
# Units: time in UTC, local_time in Australia/Sydney, electricity in kW, irradiance_direct in unknown, irradiance_diffuse in unknown, temperature in ºC,,,,,,,,,,,,,
"# {""units"": {""time"": ""UTC"""," ""local_time"": ""Australia/Sydney"""," ""electricity"": ""kW"""," ""irradiance_direct"": ""unknown"""," ""irradiance_diffuse"": ""unknown"""," ""temperature"": ""\u00baC""}"," ""params"": {""local_time"": ""true"""," ""header"": ""true"""," ""lat"": ""-31.366527331178503"""," ""lon"": ""144.84808191563363"""," ""date_from"": ""2019-01-01"""," ""date_to"": ""2019-12-31"""," ""dataset"": ""merra2"""," ""capacity"": ""1"""," ""system_loss"": ""0.1"""," ""tracking"": ""0"""," ""tilt"": ""35"""," ""azim"": ""180"""," ""raw"": ""true""}}"
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature,,,,,,,,,,,,,
01-01-19 0:00,01-01-19 11:00,0.639,0.672,0.214,38.963,,,,,,,,,,,,,
01-01-19 1:00,01-01-19 12:00,0.691,0.762,0.224,40.688,,,,,,,,,,,,,
01-01-19 2:00,01-01-19 13:00,0.701,0.785,0.227,41.959,,,,,,,,,,,,,
01-01-19 3:00,01-01-19 14:00,0.673,0.744,0.222,42.756,,,,,,,,,,,,,
01-01-19 4:00,01-01-19 15:00,0.605,0.641,0.209,43.095,,,,,,,,,,,,,
01-01-19 5:00,01-01-19 16:00,0.494,0.482,0.192,42.979,,,,,,,,,,,,,
01-01-19 6:00,01-01-19 17:00,0.346,0.294,0.166,42.402,,,,,,,,,,,,,
01-01-19 7:00,01-01-19 18:00,0.174,0.098,0.137,41.408,,,,,,,,,,,,,
01-01-19 8:00,01-01-19 19:00,0.044,0,0.076,39.987,,,,,,,,,,,,,
01-01-19 9:00,01-01-19 20:00,0,0,0.004,37.917,,,,,,,,,,,,,
01-01-19 10:00,01-01-19 21:00,0,0,0,37.294,,,,,,,,,,,,,
01-01-19 11:00,01-01-19 22:00,0,0,0,36.513,,,,,,,,,,,,,
01-01-19 12:00,01-01-19 23:00,0,0,0,35.472,,,,,,,,,,,,,
01-01-19 13:00,02-01-19 0:00,0,0,0,34.291,,,,,,,,,,,,,
01-01-19 14:00,02-01-19 1:00,0,0,0,33.076,,,,,,,,,,,,,
01-01-19 15:00,02-01-19 2:00,0,0,0,32.001,,,,,,,,,,,,,
01-01-19 16:00,02-01-19 3:00,0,0,0,31.189,,,,,,,,,,,,,
01-01-19 17:00,02-01-19 4:00,0,0,0,30.206,,,,,,,,,,,,,
01-01-19 18:00,02-01-19 5:00,0,0,0,28.862,,,,,,,,,,,,,
01-01-19 19:00,02-01-19 6:00,0,0,0.016,28.137,,,,,,,,,,,,,
01-01-19 20:00,02-01-19 7:00,0.067,0,0.1,30.297,,,,,,,,,,,,,
01-01-19 21:00,02-01-19 8:00,0.22,0.117,0.163,33.505,,,,,,,,,,,,,
01-01-19 22:00,02-01-19 9:00,0.365,0.251,0.22,37.014,,,,,,,,,,,,,
01-01-19 23:00,02-01-19 10:00,0.487,0.388,0.26,39.079,,,,,,,,,,,,,
02-01-19 0:00,02-01-19 11:00,0.589,0.5,0.312,40.575,,,,,,,,,,,,,
02-01-19 1:00,02-01-19 12:00,0.634,0.555,0.336,41.505,,,,,,,,,,,,,
02-01-19 2:00,02-01-19 13:00,0.639,0.549,0.353,41.962,,,,,,,,,,,,,
02-01-19 3:00,02-01-19 14:00,0.599,0.472,0.364,42.036,,,,,,,,,,,,,
02-01-19 4:00,02-01-19 15:00,0.475,0.241,0.398,41.492,,,,,,,,,,,,,
02-01-19 5:00,02-01-19 16:00,0.365,0.131,0.35,40.793,,,,,,,,,,,,,
02-01-19 6:00,02-01-19 17:00,0.261,0.071,0.27,40.047,,,,,,,,,,,,,
02-01-19 7:00,02-01-19 18:00,0.144,0.023,0.174,39.088,,,,,,,,,,,,,
02-01-19 8:00,02-01-19 19:00,0.035,0,0.064,37.761,,,,,,,,,,,,,
02-01-19 9:00,02-01-19 20:00,0,0,0.002,35.453,,,,,,,,,,,,,
02-01-19 10:00,02-01-19 21:00,0,0,0,33.827,,,,,,,,,,,,,
02-01-19 11:00,02-01-19 22:00,0,0,0,31.751,,,,,,,,,,,,,
02-01-19 12:00,02-01-19 23:00,0,0,0,29.428,,,,,,,,,,,,,
02-01-19 13:00,03-01-19 0:00,0,0,0,28.436,,,,,,,,,,,,,
02-01-19 14:00,03-01-19 1:00,0,0,0,28.029,,,,,,,,,,,,,
02-01-19 15:00,03-01-19 2:00,0,0,0,27.643,,,,,,,,,,,,,
02-01-19 16:00,03-01-19 3:00,0,0,0,27.407,,,,,,,,,,,,,
02-01-19 17:00,03-01-19 4:00,0,0,0,27.379,,,,,,,,,,,,,
02-01-19 18:00,03-01-19 5:00,0,0,0,27.337,,,,,,,,,,,,,
02-01-19 19:00,03-01-19 6:00,0,0,0.011,27.307,,,,,,,,,,,,,
02-01-19 20:00,03-01-19 7:00,0.075,0,0.108,28.689,,,,,,,,,,,,,
02-01-19 21:00,03-01-19 8:00,0.211,0.068,0.201,32.116,,,,,,,,,,,,,
02-01-19 22:00,03-01-19 9:00,0.356,0.188,0.267,35.231,,,,,,,,,,,,,
02-01-19 23:00,03-01-19 10:00,0.463,0.275,0.331,37.03,,,,,,,,,,,,,
03-01-19 0:00,03-01-19 11:00,0.502,0.276,0.391,38.231,,,,,,,,,,,,,
03-01-19 1:00,03-01-19 12:00,0.488,0.203,0.445,38.891,,,,,,,,,,,,,
03-01-19 2:00,03-01-19 13:00,0.501,0.217,0.453,39.557,,,,,,,,,,,,,
03-01-19 3:00,03-01-19 14:00,0.515,0.268,0.426,40.289,,,,,,,,,,,,,
03-01-19 4:00,03-01-19 15:00,0.492,0.289,0.373,40.794,,,,,,,,,,,,,
03-01-19 5:00,03-01-19 16:00,0.424,0.256,0.307,40.899,,,,,,,,,,,,,
03-01-19 6:00,03-01-19 17:00,0.311,0.168,0.24,40.545,,,,,,,,,,,,,
03-01-19 7:00,03-01-19 18:00,0.167,0.053,0.171,39.719,,,,,,,,,,,,,
03-01-19 8:00,03-01-19 19:00,0.047,0,0.079,38.454,,,,,,,,,,,,,
03-01-19 9:00,03-01-19 20:00,0,0,0.004,35.161,,,,,,,,,,,,,
03-01-19 10:00,03-01-19 21:00,0,0,0,33.629,,,,,,,,,,,,,
03-01-19 11:00,03-01-19 22:00,0,0,0,32.697,,,,,,,,,,,,,
03-01-19 12:00,03-01-19 23:00,0,0,0,31.755,,,,,,,,,,,,,
03-01-19 13:00,04-01-19 0:00,0,0,0,30.808,,,,,,,,,,,,,
03-01-19 14:00,04-01-19 1:00,0,0,0,29.997,,,,,,,,,,,,,
03-01-19 15:00,04-01-19 2:00,0,0,0,29.427,,,,,,,,,,,,,
03-01-19 16:00,04-01-19 3:00,0,0,0,29.033,,,,,,,,,,,,,
03-01-19 17:00,04-01-19 4:00,0,0,0,28.682,,,,,,,,,,,,,
03-01-19 18:00,04-01-19 5:00,0,0,0,28.381,,,,,,,,,,,,,
03-01-19 19:00,04-01-19 6:00,0,0,0.016,28.516,,,,,,,,,,,,,
03-01-19 20:00,04-01-19 7:00,0.065,0,0.097,30.754,,,,,,,,,,,,,
03-01-19 21:00,04-01-19 8:00,0.232,0.149,0.149,34.791,,,,,,,,,,,,,
03-01-19 22:00,04-01-19 9:00,0.402,0.338,0.185,37.678,,,,,,,,,,,,,
03-01-19 23:00,04-01-19 10:00,0.54,0.516,0.213,39.505,,,,,,,,,,,,,
04-01-19 0:00,04-01-19 11:00,0.634,0.669,0.22,41.103,,,,,,,,,,,,,
04-01-19 1:00,04-01-19 12:00,0.686,0.756,0.232,42.439,,,,,,,,,,,,,
04-01-19 2:00,04-01-19 13:00,0.697,0.778,0.236,43.428,,,,,,,,,,,,,
04-01-19 3:00,04-01-19 14:00,0.668,0.733,0.233,44.002,,,,,,,,,,,,,
04-01-19 4:00,04-01-19 15:00,0.6,0.627,0.222,44.121,,,,,,,,,,,,,
04-01-19 5:00,04-01-19 16:00,0.475,0.422,0.226,43.716,,,,,,,,,,,,,
04-01-19 6:00,04-01-19 17:00,0.29,0.139,0.246,42.679,,,,,,,,,,,,,
04-01-19 7:00,04-01-19 18:00,0.152,0.038,0.171,41.599,,,,,,,,,,,,,
04-01-19 8:00,04-01-19 19:00,0.042,0,0.074,40.262,,,,,,,,,,,,,
04-01-19 9:00,04-01-19 20:00,0,0,0.004,37.162,,,,,,,,,,,,,
04-01-19 10:00,04-01-19 21:00,0,0,0,35.805,,,,,,,,,,,,,
04-01-19 11:00,04-01-19 22:00,0,0,0,35.091,,,,,,,,,,,,,
04-01-19 12:00,04-01-19 23:00,0,0,0,34.572,,,,,,,,,,,,,
04-01-19 13:00,05-01-19 0:00,0,0,0,33.937,,,,,,,,,,,,,
04-01-19 14:00,05-01-19 1:00,0,0,0,33.154,,,,,,,,,,,,,
04-01-19 15:00,05-01-19 2:00,0,0,0,32.264,,,,,,,,,,,,,
04-01-19 16:00,05-01-19 3:00,0,0,0,31.354,,,,,,,,,,,,,
04-01-19 17:00,05-01-19 4:00,0,0,0,30.513,,,,,,,,,,,,,
04-01-19 18:00,05-01-19 5:00,0,0,0,29.597,,,,,,,,,,,,,
04-01-19 19:00,05-01-19 6:00,0,0,0.015,29.272,,,,,,,,,,,,,
04-01-19 20:00,05-01-19 7:00,0.07,0,0.103,30.844,,,,,,,,,,,,,
04-01-19 21:00,05-01-19 8:00,0.218,0.11,0.17,33.898,,,,,,,,,,,,,
04-01-19 22:00,05-01-19 9:00,0.377,0.273,0.213,36.567,,,,,,,,,,,,,
04-01-19 23:00,05-01-19 10:00,0.503,0.418,0.252,38.649,,,,,,,,,,,,,
05-01-19 0:00,05-01-19 11:00,0.591,0.508,0.306,40.348,,,,,,,,,,,,,
05-01-19 1:00,05-01-19 12:00,0.65,0.608,0.311,41.587,,,,,,,,,,,,,
05-01-19 2:00,05-01-19 13:00,0.665,0.635,0.313,42.115,,,,,,,,,,,,,
05-01-19 3:00,05-01-19 14:00,0.644,0.606,0.303,41.656,,,,,,,,,,,,,
05-01-19 4:00,05-01-19 15:00,0.58,0.504,0.29,40.232,,,,,,,,,,,,,
05-01-19 5:00,05-01-19 16:00,0.458,0.312,0.289,38.231,,,,,,,,,,,,,
05-01-19 6:00,05-01-19 17:00,0.303,0.128,0.26,36.26,,,,,,,,,,,,,
05-01-19 7:00,05-01-19 18:00,0.156,0.03,0.176,34.395,,,,,,,,,,,,,
05-01-19 8:00,05-01-19 19:00,0.043,0,0.072,32.258,,,,,,,,,,,,,
05-01-19 9:00,05-01-19 20:00,0,0,0.003,29.92,,,,,,,,,,,,,
05-01-19 10:00,05-01-19 21:00,0,0,0,28.058,,,,,,,,,,,,,
05-01-19 11:00,05-01-19 22:00,0,0,0,26.563,,,,,,,,,,,,,
05-01-19 12:00,05-01-19 23:00,0,0,0,25.55,,,,,,,,,,,,,
05-01-19 13:00,06-01-19 0:00,0,0,0,24.657,,,,,,,,,,,,,
05-01-19 14:00,06-01-19 1:00,0,0,0,23.818,,,,,,,,,,,,,
05-01-19 15:00,06-01-19 2:00,0,0,0,23.097,,,,,,,,,,,,,
05-01-19 16:00,06-01-19 3:00,0,0,0,22.505,,,,,,,,,,,,,
05-01-19 17:00,06-01-19 4:00,0,0,0,22.005,,,,,,,,,,,,,
05-01-19 18:00,06-01-19 5:00,0,0,0,21.569,,,,,,,,,,,,,
05-01-19 19:00,06-01-19 6:00,0,0,0.012,21.227,,,,,,,,,,,,,
05-01-19 20:00,06-01-19 7:00,0.056,0,0.084,21.65,,,,,,,,,,,,,
05-01-19 21:00,06-01-19 8:00,0.166,0.02,0.187,22.884,,,,,,,,,,,,,
05-01-19 22:00,06-01-19 9:00,0.31,0.085,0.289,24.584,,,,,,,,,,,,,
05-01-19 23:00,06-01-19 10:00,0.451,0.204,0.353,26.572,,,,,,,,,,,,,
06-01-19 0:00,06-01-19 11:00,0.548,0.322,0.373,28.519,,,,,,,,,,,,,
06-01-19 1:00,06-01-19 12:00,0.598,0.381,0.394,30.259,,,,,,,,,,,,,
06-01-19 2:00,06-01-19 13:00,0.611,0.405,0.397,31.69,,,,,,,,,,,,,
06-01-19 3:00,06-01-19 14:00,0.602,0.424,0.37,32.857,,,,,,,,,,,,,
06-01-19 4:00,06-01-19 15:00,0.554,0.398,0.328,33.648,,,,,,,,,,,,,
06-01-19 5:00,06-01-19 16:00,0.469,0.331,0.273,33.991,,,,,,,,,,,,,
06-01-19 6:00,06-01-19 17:00,0.336,0.204,0.221,33.782,,,,,,,,,,,,,
06-01-19 7:00,06-01-19 18:00,0.166,0.044,0.172,32.83,,,,,,,,,,,,,
06-01-19 8:00,06-01-19 19:00,0.044,0,0.074,31.474,,,,,,,,,,,,,
06-01-19 9:00,06-01-19 20:00,0,0,0.003,28.811,,,,,,,,,,,,,
06-01-19 10:00,06-01-19 21:00,0,0,0,28.128,,,,,,,,,,,,,
06-01-19 11:00,06-01-19 22:00,0,0,0,27.451,,,,,,,,,,,,,
