# Renewables.ninja Wind power (Point API) - -37.948, 143.751 - Version: 1.4 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068,,,,,,,,,,,,,
# Units: time in UTC, local_time in Australia/Sydney, electricity in kW, wind_speed in m/s,,,,,,,,,,,
"# {""units"": {""time"": ""UTC"""," ""local_time"": ""Australia/Sydney"""," ""electricity"": ""kW"""," ""wind_speed"": ""m/s""}"," ""params"": {""local_time"": ""true"""," ""header"": ""true"""," ""lat"": ""-37.947532"""," ""lon"": ""143.751058"""," ""date_from"": ""2019-01-01"""," ""date_to"": ""2019-12-31"""," ""dataset"": ""merra2"""," ""capacity"": ""1"""," ""height"": ""80"""," ""turbine"": ""Vestas V90 2000"""," ""raw"": ""true""}}"
time,local_time,electricity,wind_speed,,,,,,,,,,,
01-01-19 0:00,01-01-19 11:00,0.021,3.14,,,,,,,,,,,
01-01-19 1:00,01-01-19 12:00,0.038,3.584,,,,,,,,,,,
01-01-19 2:00,01-01-19 13:00,0.057,3.959,,,,,,,,,,,
01-01-19 3:00,01-01-19 14:00,0.079,4.334,,,,,,,,,,,
01-01-19 4:00,01-01-19 15:00,0.109,4.774,,,,,,,,,,,
01-01-19 5:00,01-01-19 16:00,0.151,5.283,,,,,,,,,,,
01-01-19 6:00,01-01-19 17:00,0.189,5.691,,,,,,,,,,,
01-01-19 7:00,01-01-19 18:00,0.209,5.892,,,,,,,,,,,
01-01-19 8:00,01-01-19 19:00,0.234,6.118,,,,,,,,,,,
01-01-19 9:00,01-01-19 20:00,0.278,6.495,,,,,,,,,,,
01-01-19 10:00,01-01-19 21:00,0.274,6.469,,,,,,,,,,,
01-01-19 11:00,01-01-19 22:00,0.216,5.946,,,,,,,,,,,
01-01-19 12:00,01-01-19 23:00,0.153,5.304,,,,,,,,,,,
01-01-19 13:00,02-01-19 0:00,0.106,4.733,,,,,,,,,,,
01-01-19 14:00,02-01-19 1:00,0.086,4.446,,,,,,,,,,,
01-01-19 15:00,02-01-19 2:00,0.087,4.457,,,,,,,,,,,
01-01-19 16:00,02-01-19 3:00,0.108,4.761,,,,,,,,,,,
01-01-19 17:00,02-01-19 4:00,0.123,4.954,,,,,,,,,,,
01-01-19 18:00,02-01-19 5:00,0.134,5.092,,,,,,,,,,,
01-01-19 19:00,02-01-19 6:00,0.133,5.081,,,,,,,,,,,
01-01-19 20:00,02-01-19 7:00,0.093,4.543,,,,,,,,,,,
01-01-19 21:00,02-01-19 8:00,0.068,4.157,,,,,,,,,,,
01-01-19 22:00,02-01-19 9:00,0.055,3.922,,,,,,,,,,,
01-01-19 23:00,02-01-19 10:00,0.048,3.79,,,,,,,,,,,
02-01-19 0:00,02-01-19 11:00,0.045,3.734,,,,,,,,,,,
02-01-19 1:00,02-01-19 12:00,0.048,3.785,,,,,,,,,,,
02-01-19 2:00,02-01-19 13:00,0.052,3.867,,,,,,,,,,,
02-01-19 3:00,02-01-19 14:00,0.063,4.07,,,,,,,,,,,
02-01-19 4:00,02-01-19 15:00,0.088,4.473,,,,,,,,,,,
02-01-19 5:00,02-01-19 16:00,0.126,5,,,,,,,,,,,
02-01-19 6:00,02-01-19 17:00,0.184,5.647,,,,,,,,,,,
02-01-19 7:00,02-01-19 18:00,0.256,6.313,,,,,,,,,,,
02-01-19 8:00,02-01-19 19:00,0.352,7.085,,,,,,,,,,,
02-01-19 9:00,02-01-19 20:00,0.402,7.459,,,,,,,,,,,
02-01-19 10:00,02-01-19 21:00,0.353,7.094,,,,,,,,,,,
02-01-19 11:00,02-01-19 22:00,0.298,6.663,,,,,,,,,,,
02-01-19 12:00,02-01-19 23:00,0.248,6.237,,,,,,,,,,,
02-01-19 13:00,03-01-19 0:00,0.235,6.13,,,,,,,,,,,
02-01-19 14:00,03-01-19 1:00,0.225,6.029,,,,,,,,,,,
02-01-19 15:00,03-01-19 2:00,0.211,5.91,,,,,,,,,,,
02-01-19 16:00,03-01-19 3:00,0.203,5.835,,,,,,,,,,,
02-01-19 17:00,03-01-19 4:00,0.207,5.866,,,,,,,,,,,
02-01-19 18:00,03-01-19 5:00,0.214,5.938,,,,,,,,,,,
02-01-19 19:00,03-01-19 6:00,0.204,5.84,,,,,,,,,,,
02-01-19 20:00,03-01-19 7:00,0.156,5.347,,,,,,,,,,,
02-01-19 21:00,03-01-19 8:00,0.105,4.723,,,,,,,,,,,
02-01-19 22:00,03-01-19 9:00,0.055,3.932,,,,,,,,,,,
02-01-19 23:00,03-01-19 10:00,0.024,3.203,,,,,,,,,,,
03-01-19 0:00,03-01-19 11:00,0.008,2.56,,,,,,,,,,,
03-01-19 1:00,03-01-19 12:00,0.001,1.935,,,,,,,,,,,
03-01-19 2:00,03-01-19 13:00,0,0.562,,,,,,,,,,,
03-01-19 3:00,03-01-19 14:00,0,0.303,,,,,,,,,,,
